"AptName","Target","TargetFullName","EntrezGeneSymbol","UniProt"
"seq.25301.48","DYR1A","Dual specificity tyrosine-phosphorylation-regulated kinase 1A","DYRK1A","Q13627"
"seq.25306.51","DAXX","DAXX","DAXX","Q9UER7"
"seq.25307.8","WDR18","WD repeat-containing protein 18","WDR18","Q9BV38"
"seq.25308.8","LIMK1","LIM domain kinase 1","LIMK1","P53667"
"seq.25409.5","CC140","Coiled-coil domain-containing protein 140","CCDC140","Q96MF4"
"seq.25412.53","FXYD6","FXYD domain-containing ion transport regulator 6","FXYD6","Q9H0Q3"
"seq.25413.80","GAGE-2","G antigen 2","GAGE2B","Q13066"
"seq.25414.11","LCE3B","Late cornified envelope protein 3B","LCE3B","Q5TA77"
"seq.25416.5","PRAX","Periaxin","PRX","Q9BXM0"
"seq.25419.59","SPXN4","Sperm protein associated with the nucleus on the X chromosome N4","SPANXN4","Q5MJ08"
"seq.25422.58","RPP40","Ribonuclease P protein subunit p40","RPP40","O75818"
"seq.25424.234","SYT12","Synaptotagmin-12","SYT12","Q8IV01"
"seq.25428.103","IFRD1","Interferon-related developmental regulator 1","IFRD1","O00458"
"seq.25433.25","NSUN6","Putative methyltransferase NSUN6","NSUN6","Q8TEA1"
"seq.25436.44","SCPDL","Saccharopine dehydrogenase-like oxidoreductase","SCCPDH","Q8NBX0"
"seq.25437.18","ANKY2","Ankyrin repeat and MYND domain-containing protein 2","ANKMY2","Q8IV38"
"seq.25438.288","NT5D1","5'-nucleotidase domain-containing protein 1","NT5DC1","Q5TFE4"
"seq.25444.29","I5P1","Type I inositol 1;4;5-trisphosphate 5-phosphatase","INPP5A","Q14642"
"seq.25446.34","DDI2","Protein DDI1 homolog 2","DDI2","Q5TDH0"
"seq.25451.39","YAP1","Transcriptional coactivator YAP1","YAP1","P46937"
"seq.25452.16","MSD2","Myb/SANT-like DNA-binding domain-containing protein 2","MSANTD2","Q6P1R3"
"seq.25453.57","ROP1B","Ropporin-1B","ROPN1B","Q9BZX4"
"seq.25456.73","PRS8","26S protease regulatory subunit 8","PSMC5","P62195"
"seq.25459.3","MACD2","O-acetyl-ADP-ribose deacetylase MACROD2","MACROD2","A1Z1Q3"
"seq.25460.36","IRF5","Interferon regulatory factor 5","IRF5","Q13568"
"seq.25461.3","ARRS","S-arrestin","SAG","P10523"
"seq.25463.3","KAP3","cAMP-dependent protein kinase type II-beta regulatory subunit","PRKAR2B","P31323"
"seq.25464.1","CP2CJ","Cytochrome P450 2C19","CYP2C19","P33261"
"seq.25465.42","MLIP","Muscular LMNA-interacting protein","MLIP","Q5VWP3"
"seq.25466.84","KMO","Kynurenine 3-monooxygenase","KMO","O15229"
"seq.25468.5","SOX-9","SOX-9","SOX9","P48436"
"seq.25472.12","BEGIN","Brain-enriched guanylate kinase-associated protein","BEGAIN","Q9BUH8"
"seq.25473.62","FNTA","Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha","FNTA","P49354"
"seq.25479.8","LRRF2","Leucine-rich repeat flightless-interacting protein 2","LRRFIP2","Q9Y608"
"seq.25480.21","UBAC1","Ubiquitin-associated domain-containing protein 1","UBAC1","Q9BSL1"
"seq.25481.66","ATX10","Ataxin-10","ATXN10","Q9UBB4"
"seq.25482.5","NFIA","Nuclear factor 1 A-type","NFIA","Q12857"
"seq.25484.120","ARI3C","AT-rich interactive domain-containing protein 3C","ARID3C","A6NKF2"
"seq.25486.38","RM38","39S ribosomal protein L38; mitochondrial","MRPL38","Q96DV4"
"seq.25488.6","PKHO2","Pleckstrin homology domain-containing family O member 2","PLEKHO2","Q8TD55"
"seq.25491.54","LNP","Endoplasmic reticulum junction formation protein lunapark","LNPK","Q9C0E8"
"seq.25492.7","TOM1","Target of Myb protein 1","TOM1","O60784"
"seq.25493.11","F221B","Protein FAM221B","FAM221B","A6H8Z2"
"seq.25497.35","S14L4","SEC14-like protein 4","SEC14L4","Q9UDX3"
"seq.25499.37","DDHD2","Phospholipase DDHD2","DDHD2","O94830"
"seq.25500.6","RFIP3","Rab11 family-interacting protein 3","RAB11FIP3","O75154"
"seq.25501.128","CLNK","Cytokine-dependent hematopoietic cell linker","CLNK","Q7Z7G1"
"seq.2558.51","b-Endorphin","Beta-endorphin","POMC","P01189"
"seq.2567.5","Factor I","Complement factor I","CFI","P05156"
"seq.2570.72","IGFBP-2","Insulin-like growth factor-binding protein 2","IGFBP2","P18065"
"seq.2571.12","IGFBP-3","Insulin-like growth factor-binding protein 3","IGFBP3","P17936"
"seq.2573.20","IL-6","Interleukin-6","IL6","P05231"
"seq.2575.5","Leptin","Leptin","LEP","P41159"
"seq.2578.67","MCP-1","C-C motif chemokine 2","CCL2","P13500"
"seq.2579.17","MMP-9","Matrix metalloproteinase-9","MMP9","P14780"
"seq.2580.83","Myeloperoxidase","Myeloperoxidase","MPO","P05164"
"seq.2585.2","PRL","Prolactin","PRL","P01236"
"seq.25879.6","KAT5","Histone acetyltransferase KAT5","KAT5","Q92993"
"seq.25880.14","5-Lipoxygenase","5-Lipoxygenase","ALOX5","P09917"
"seq.25886.11","ABCD4","ATP-binding cassette sub-family D member 4","ABCD4","O14678"
"seq.25889.108","AIM2","Absent in melanoma 2","AIM2","O14862"
"seq.25895.29","Caspase-5","Caspase-5","CASP5","P51878"
"seq.25898.4","CHID1","Chitinase domain-containing protein 1","CHID1","Q9BWS9"
