AptName,TargetFullName,Target,UniProt,logFC,AveExpr,t,P.Value,adj.P.Val,B
seq.9745.20,Eukaryotic translation initiation factor 4E type 2,IF4E2,O60573,-0.256083719,11.11683647,-1.529993185,0.142450428,0.982436854,-4.437609191
seq.18317.111,AN1-type zinc finger protein 5,ZFAN5,O76080,-0.239492207,9.973990223,-1.529855452,0.142484369,0.982436854,-4.437664292
seq.5687.5,Glucosidase 2 subunit beta,GLU2B,P14314,-0.262113541,13.02745837,-1.529751682,0.142509945,0.982436854,-4.437705805
seq.22472.4,Transcription factor 12,HTF4,Q99081,-0.776996188,12.66593833,-1.529748204,0.142510803,0.982436854,-4.437707197
seq.21445.40,Ubiquitin-like protein Nedd8,Neddylin,Q15843,-0.749131932,13.98976333,-1.527599892,0.143041159,0.982436854,-4.438566222
seq.14146.92,Histone H3.1,H31,P68431,-0.862074885,12.46070174,-1.527466978,0.143074025,0.982436854,-4.438619345
seq.10900.272,Stathmin-2,STMN2,Q93045,-0.619654173,10.83277432,-1.52739725,0.14309127,0.982436854,-4.438647212
seq.18909.11,Exosome complex component RRP43,EXOS8,Q96B26,-0.220064473,9.742882211,-1.527255593,0.143126309,0.982436854,-4.438703824
seq.23395.5,KH domain-containing; RNA-binding; signal transduction-associated protein 2,KHDR2,Q5VWX1,-0.350988158,9.036889682,-1.52605883,0.14342261,0.982436854,-4.439181968
seq.14105.5,Kallistatin,Kallistatin,P29622,-0.334720689,15.40256167,-1.525971853,0.143444164,0.982436854,-4.439216709
seq.9201.13,Transgelin-2,Transgelin-2,P37802,-1.102998241,12.59859801,-1.524518488,0.143804724,0.982436854,-4.439797038
seq.4696.2,Fatty acid-binding protein; heart,FABP,P05413,0.149309734,11.27986408,1.52451059,0.143806685,0.982436854,-4.439800191
seq.9604.14,Cadherin-11:Extracellular domain,Cadherin-11:ECD,P55287,0.418117247,10.8088715,1.524085889,0.14391219,0.982436854,-4.439969708
seq.23304.1,Protein NipSnap homolog 3B,NPS3B,Q9BS92,-0.505754611,11.54005274,-1.52404588,0.143922133,0.982436854,-4.439985676
seq.7856.51,Protein FAM151A,F151A,Q8WW52,-0.625304464,11.89312045,-1.523367384,0.144090829,0.982436854,-4.440256429
seq.5001.6,Mammaglobin-B,Mammaglobin 2,O75556,-0.159090381,14.14372429,-1.52268385,0.144260944,0.982436854,-4.440529115
seq.20373.141,Glucose-induced degradation protein 8 homolog,GID8,Q9NWU2,-0.218820674,11.30409479,-1.521986936,0.144434559,0.982436854,-4.440807061
seq.19251.56,Serglycin,Platelet proteoglycan,P10124,-0.501951525,12.76539731,-1.521969293,0.144438957,0.982436854,-4.440814096
seq.15667.39,Bone morphogenetic protein 4,BMP-4,P12644,0.340909631,10.57265952,1.521194741,0.144632121,0.982436854,-4.44112291
